2026-05-29 14:19:17.441 | INFO     | server:lifespan:41 - SCU-FastAPI Starting...
2026-05-29 14:19:17.447 | INFO     | server:lifespan:51 - SCU-FastAPI Started successfully
2026-05-29 14:21:22.495 | INFO     | module_device.controller.device_controller:get_device_list:50 - 获取成功
2026-05-29 14:26:43.844 | INFO     | module_admin.controller.login_controller:login:58 - 登录成功
2026-05-29 14:26:44.086 | INFO     | module_admin.controller.login_controller:get_login_user_info:71 - 获取成功
2026-05-29 14:26:44.246 | INFO     | module_admin.controller.login_controller:get_login_user_routers:83 - 获取成功
2026-05-29 14:26:46.557 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 14:26:49.954 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 14:26:50.051 | INFO     | module_admin.controller.login_controller:get_login_user_info:71 - 获取成功
2026-05-29 14:26:50.213 | INFO     | module_admin.controller.login_controller:get_login_user_routers:83 - 获取成功
2026-05-29 14:26:50.872 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 14:26:54.425 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 14:27:19.599 | ERROR    | exceptions.handle:service_exception_handler:51 - not_bbms_device
2026-05-29 14:27:24.275 | INFO     | module_admin.controller.login_controller:get_login_user_info:71 - 获取成功
2026-05-29 14:27:24.380 | INFO     | module_admin.controller.login_controller:get_login_user_routers:83 - 获取成功
2026-05-29 14:27:24.680 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 14:27:27.993 | ERROR    | exceptions.handle:service_exception_handler:51 - not_bbms_device
2026-05-29 14:27:34.322 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 14:27:38.466 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 14:28:31.741 | INFO     | module_admin.controller.login_controller:get_login_user_info:71 - 获取成功
2026-05-29 14:28:31.866 | INFO     | module_admin.controller.login_controller:get_login_user_routers:83 - 获取成功
2026-05-29 14:28:33.265 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 14:44:37.976 | INFO     | module_admin.controller.login_controller:get_login_user_info:71 - 获取成功
2026-05-29 14:44:38.325 | INFO     | module_admin.controller.login_controller:get_login_user_routers:83 - 获取成功
2026-05-29 14:44:40.503 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 14:44:53.617 | INFO     | module_admin.controller.login_controller:login:58 - 登录成功
2026-05-29 14:44:53.791 | INFO     | module_admin.controller.login_controller:get_login_user_info:71 - 获取成功
2026-05-29 14:44:53.970 | INFO     | module_admin.controller.login_controller:get_login_user_routers:83 - 获取成功
2026-05-29 14:44:55.649 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 14:45:52.448 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 14:46:04.461 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 14:46:05.036 | INFO     | module_admin.controller.login_controller:get_login_user_info:71 - 获取成功
2026-05-29 14:46:05.215 | INFO     | module_admin.controller.login_controller:get_login_user_routers:83 - 获取成功
2026-05-29 14:46:05.538 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 14:56:01.605 | INFO     | module_admin.controller.login_controller:get_login_user_info:71 - 获取成功
2026-05-29 14:56:01.932 | INFO     | module_admin.controller.login_controller:get_login_user_routers:83 - 获取成功
2026-05-29 14:56:03.563 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 14:56:33.705 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 15:08:07.768 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 15:08:23.787 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 15:09:01.000 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 15:09:01.392 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 15:09:40.375 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 15:09:56.778 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 15:10:11.899 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 15:10:43.506 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 15:11:00.743 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 15:11:23.047 | INFO     | module_admin.controller.login_controller:get_login_user_info:71 - 获取成功
2026-05-29 15:11:23.200 | INFO     | module_admin.controller.login_controller:get_login_user_routers:83 - 获取成功
2026-05-29 15:11:24.639 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 15:11:49.198 | INFO     | module_admin.controller.login_controller:get_login_user_info:71 - 获取成功
2026-05-29 15:11:49.305 | INFO     | module_admin.controller.login_controller:get_login_user_routers:83 - 获取成功
2026-05-29 15:11:49.579 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 15:17:29.703 | INFO     | module_admin.controller.login_controller:get_login_user_info:71 - 获取成功
2026-05-29 15:17:29.821 | INFO     | module_admin.controller.login_controller:get_login_user_routers:83 - 获取成功
2026-05-29 15:17:30.375 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 15:25:30.288 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 15:34:53.529 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 15:34:54.077 | INFO     | module_admin.controller.login_controller:get_login_user_info:71 - 获取成功
2026-05-29 15:34:54.310 | INFO     | module_admin.controller.login_controller:get_login_user_routers:83 - 获取成功
2026-05-29 15:34:55.327 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 15:38:26.037 | INFO     | module_admin.controller.login_controller:get_login_user_info:71 - 获取成功
2026-05-29 15:38:26.255 | INFO     | module_admin.controller.login_controller:get_login_user_routers:83 - 获取成功
2026-05-29 15:38:27.832 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 15:42:33.478 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 15:42:33.799 | INFO     | module_admin.controller.login_controller:get_login_user_info:71 - 获取成功
2026-05-29 15:42:33.930 | INFO     | module_admin.controller.login_controller:get_login_user_routers:83 - 获取成功
2026-05-29 15:42:34.485 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 15:45:58.302 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 15:46:18.173 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 15:46:37.299 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 15:52:40.794 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 15:52:40.950 | INFO     | module_admin.controller.login_controller:get_login_user_info:71 - 获取成功
2026-05-29 15:52:41.098 | INFO     | module_admin.controller.login_controller:get_login_user_routers:83 - 获取成功
2026-05-29 15:52:42.972 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 15:59:41.644 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 15:59:42.210 | INFO     | module_admin.controller.login_controller:get_login_user_info:71 - 获取成功
2026-05-29 15:59:42.476 | INFO     | module_admin.controller.login_controller:get_login_user_routers:83 - 获取成功
2026-05-29 15:59:43.035 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 16:02:27.875 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-29 16:05:16.935 | INFO     | module_admin.controller.login_controller:get_login_user_info:71 - 获取成功
