2026-05-21 13:56:38.957 | INFO     | server:lifespan:41 - SCU-FastAPI Starting...
2026-05-21 13:56:38.961 | INFO     | server:lifespan:51 - SCU-FastAPI Started successfully
2026-05-21 13:59:44.544 | INFO     | server:lifespan:41 - SCU-FastAPI Starting...
2026-05-21 13:59:44.549 | INFO     | server:lifespan:51 - SCU-FastAPI Started successfully
2026-05-21 14:12:13.192 | INFO     | module_admin.controller.login_controller:login:58 - 登录成功
2026-05-21 14:12:13.401 | INFO     | module_admin.controller.login_controller:get_login_user_info:71 - 获取成功
2026-05-21 14:12:13.516 | INFO     | module_admin.controller.login_controller:get_login_user_routers:83 - 获取成功
2026-05-21 14:12:15.195 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-21 14:12:17.712 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-22 09:30:47.818 | INFO     | module_admin.controller.login_controller:get_login_user_info:71 - 获取成功
2026-05-22 09:30:48.075 | INFO     | module_admin.controller.login_controller:get_login_user_routers:83 - 获取成功
2026-05-22 09:30:48.631 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-22 09:34:02.626 | INFO     | module_device.controller.device_controller:get_device_list:34 - 获取成功
2026-05-22 09:34:02.689 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-22 09:34:07.583 | INFO     | module_device.controller.topology_controller:delete_topology:51 - Deleted successfully
2026-05-22 09:34:07.665 | INFO     | module_device.controller.device_controller:get_device_list:34 - 获取成功
2026-05-22 09:34:07.720 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-22 09:34:09.948 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-22 09:34:10.975 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-05-22 09:34:13.600 | INFO     | module_device.controller.device_controller:get_device_list:34 - 获取成功
2026-05-22 09:34:16.766 | INFO     | module_device.controller.device_controller:delete_system_device:107 - Delete successful
2026-05-22 09:34:16.840 | INFO     | module_device.controller.device_controller:get_device_list:34 - 获取成功
2026-05-22 09:34:23.337 | INFO     | module_device.controller.template_controller:get_template_list:39 - 获取成功
2026-05-22 09:34:47.105 | INFO     | module_device.controller.template_controller:delete_system_template:106 - Deleted successfully
2026-05-22 09:34:47.168 | INFO     | module_device.controller.template_controller:get_template_list:39 - 获取成功
2026-05-22 09:38:50.402 | INFO     | module_device.controller.template_controller:export_template_list:181 - 导出成功
2026-05-22 09:39:54.661 | INFO     | module_device.controller.template_controller:add_system_template:78 - Added successfully
2026-05-22 09:39:54.736 | INFO     | module_device.controller.template_controller:get_template_list:39 - 获取成功
2026-05-22 09:40:17.638 | INFO     | module_admin.controller.login_controller:get_login_user_info:71 - 获取成功
2026-05-22 09:40:17.911 | INFO     | module_admin.controller.login_controller:get_login_user_routers:83 - 获取成功
2026-05-22 09:40:18.385 | INFO     | module_device.controller.template_controller:get_template_list:39 - 获取成功
2026-05-22 09:40:34.795 | INFO     | module_device.controller.template_controller:batch_import_point:138 - Import successful
2026-05-22 09:41:25.878 | INFO     | module_device.controller.template_controller:add_system_template:78 - Added successfully
2026-05-22 09:41:25.965 | INFO     | module_device.controller.template_controller:get_template_list:39 - 获取成功
2026-05-22 09:41:45.352 | INFO     | module_device.controller.template_controller:add_system_template:78 - Added successfully
2026-05-22 09:41:45.439 | INFO     | module_device.controller.template_controller:get_template_list:39 - 获取成功
2026-05-22 09:42:06.681 | INFO     | module_device.controller.template_controller:add_system_template:78 - Added successfully
2026-05-22 09:42:06.766 | INFO     | module_device.controller.template_controller:get_template_list:39 - 获取成功
2026-05-22 09:42:16.306 | INFO     | module_device.controller.template_controller:batch_import_point:138 - Import successful
2026-05-22 09:42:28.239 | INFO     | module_device.controller.template_controller:batch_import_point:138 - Import successful
2026-05-22 09:42:41.572 | INFO     | module_device.controller.template_controller:batch_import_point:138 - Import successful
