2026-04-28 13:32:46.851 | INFO     | server:lifespan:36 - SCU-FastAPI Starting...
2026-04-28 13:32:46.851 | INFO     | server:lifespan:40 - SCU-FastAPI Started successfully
2026-04-28 13:35:19.936 | INFO     | module_admin.controller.login_controller:get_login_user_info:71 - 获取成功
2026-04-28 13:35:20.142 | INFO     | module_admin.controller.login_controller:get_login_user_routers:83 - 获取成功
2026-04-28 13:40:06.491 | INFO     | module_admin.controller.login_controller:get_login_user_info:71 - 获取成功
2026-04-28 13:40:06.553 | INFO     | module_admin.controller.login_controller:get_login_user_routers:83 - 获取成功
2026-04-28 13:49:52.015 | INFO     | module_device.controller.device_controller:export_device_list:184 - 导出成功
2026-04-28 15:07:50.725 | INFO     | module_device.controller.device_controller:export_device_list:184 - 导出成功
2026-04-28 16:37:33.705 | ERROR    | exceptions.handle:service_exception_handler:51 - Device does not exist
2026-04-28 16:54:30.650 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 16:54:30.886 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 16:54:58.127 | INFO     | module_device.controller.device_controller:get_device_list:33 - 获取成功
2026-04-28 16:54:58.465 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 16:55:06.366 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 16:55:06.689 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 16:55:37.432 | ERROR    | exceptions.handle:service_exception_handler:51 - Device batt2 has been added to device topology and cannot be deleted
2026-04-28 16:55:43.238 | ERROR    | exceptions.handle:service_exception_handler:51 - Device 485IO2 has been added to device topology and cannot be deleted
2026-04-28 16:55:47.098 | INFO     | module_device.controller.device_controller:get_device_list:33 - 获取成功
2026-04-28 16:55:47.362 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 16:56:07.213 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 16:56:07.550 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 16:56:16.800 | INFO     | module_device.controller.device_controller:get_device_list:33 - 获取成功
2026-04-28 16:56:17.061 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 16:56:20.762 | INFO     | module_device.controller.device_controller:get_device_list:33 - 获取成功
2026-04-28 16:56:21.104 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 16:59:40.162 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 16:59:40.414 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 17:04:53.619 | INFO     | module_admin.controller.login_controller:get_login_user_info:71 - 获取成功
2026-04-28 17:04:53.855 | INFO     | module_admin.controller.login_controller:get_login_user_routers:83 - 获取成功
2026-04-28 17:07:04.277 | INFO     | module_admin.controller.login_controller:get_login_user_info:71 - 获取成功
2026-04-28 17:07:04.310 | INFO     | module_admin.controller.login_controller:get_login_user_routers:83 - 获取成功
2026-04-28 17:11:00.609 | INFO     | module_admin.controller.login_controller:get_login_user_info:71 - 获取成功
2026-04-28 17:11:00.656 | INFO     | module_admin.controller.login_controller:get_login_user_routers:83 - 获取成功
2026-04-28 17:11:02.981 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 17:11:02.993 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 17:11:09.411 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 17:11:09.679 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 17:11:16.887 | INFO     | module_device.controller.device_controller:get_device_list:33 - 获取成功
2026-04-28 17:11:17.196 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 17:11:18.785 | INFO     | module_admin.controller.login_controller:get_login_user_info:71 - 获取成功
2026-04-28 17:11:18.880 | INFO     | module_admin.controller.login_controller:get_login_user_routers:83 - 获取成功
2026-04-28 17:11:19.250 | INFO     | module_device.controller.device_controller:get_device_list:33 - 获取成功
2026-04-28 17:11:19.280 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 17:11:21.179 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 17:11:21.189 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 17:11:28.099 | INFO     | module_device.controller.device_controller:get_device_list:33 - 获取成功
2026-04-28 17:11:28.332 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 17:11:29.282 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 17:11:33.546 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 17:11:33.809 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 17:11:38.621 | INFO     | module_device.controller.device_controller:get_device_list:33 - 获取成功
2026-04-28 17:11:38.932 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 17:12:06.877 | INFO     | module_admin.controller.login_controller:get_login_user_info:71 - 获取成功
2026-04-28 17:12:06.929 | INFO     | module_admin.controller.login_controller:get_login_user_routers:83 - 获取成功
2026-04-28 17:12:14.935 | INFO     | module_device.controller.device_controller:get_device_list:33 - 获取成功
2026-04-28 17:12:15.245 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 17:12:19.295 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 17:12:19.630 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 17:12:22.789 | INFO     | module_device.controller.device_controller:get_device_list:33 - 获取成功
2026-04-28 17:12:23.047 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 17:12:24.828 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 17:12:30.745 | INFO     | module_device.controller.device_controller:get_device_list:33 - 获取成功
2026-04-28 17:12:31.009 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 17:12:35.306 | INFO     | module_device.controller.device_controller:get_device_list:33 - 获取成功
2026-04-28 17:12:35.628 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 17:12:41.334 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 17:12:41.661 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 17:12:43.080 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 17:12:45.407 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 17:12:45.745 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 17:12:47.722 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 17:15:00.462 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 17:15:00.711 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 17:15:59.154 | INFO     | module_device.controller.device_controller:get_device_list:33 - 获取成功
2026-04-28 17:15:59.477 | INFO     | module_device.controller.topology_controller:get_topology_list:20 - 获取拓扑结构列表成功
2026-04-28 17:17:22.681 | INFO     | module_device.controller.device_controller:get_device_list:33 - 获取成功
